content,polarity
 No te libraras de ayudar me/nos. Besos y gracias,NEU
 Gracias MAR,P
"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",N
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,P
Toca . Grabación dl especial Navideño...Mari crismas!,P
Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia Hoy podría ser un día para la grandeza humana.,P
Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso ,P
Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,P
"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",P
#programascambiados caca d ajuste,N
Buen viernes,P
“: #programascambiados es TT gracias a ” GRACIAS POR EL BUEN RATO AMIGOS!!;),P
La Universidad confía en De la Calle para encarar sus retos más ambiciosos ,P
¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros ,P
abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE ,N
"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores ",N
La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,N
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,N
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. traslada a Hospital Doce de Octubre vía ,N
"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. ",P
"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.",N
"Mis #FF xa x volver a sonreír, a x ser tan autentico, a x su subidòn y a x su victoria",P
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,P
#FF a por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,P
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,P
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,N
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. ,N
No se ha aprobado la ley Sinde,N
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,NEU
"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! ",P
"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",N
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.,N
#FF de vuelta ;-)) ,P
"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",N
"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria",NEU
Me encanta ver por aqui a ;-)),P
si están por Valencia España les recomiendo esta exposición !! ,P
“: Amigaaaaa!!!!!” holaaaa guapaaaa!,P
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,N
El desempleo en EE UU baja a los niveles de marzo de 2009 ,P
"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? 20:30",N
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,N
"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya",N
RT : Éstas Navidades regala solidaridad:#positivegeneration (cont) ,P
¿Crisis de identidad? RT ¡¡¡Tú eres española por encima de todo!!!,N
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT : (cont) ,P
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,N
"Así me gusta, Mónica “: . A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",P
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,P
"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",N
 la ley del embudo...característica de la derecha española. Animo,N
"Eso no es cierto, nos llevamos de maravilla. RT : ¬¬ POR QE!!! (cont) ",P
"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h .es ",P
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!,P
 BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),P
"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) ",P
"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",N
"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",P
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,N
"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",P
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . ,N
"Buenos dias, que buenos eran/siguen siendo Talking Heads...",P
 jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii,P
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,N
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - ,P
Gracias por la hospitalidad!!! ;-) RT Bienvenido DON a mi humilde morada ;),P
"En el Espolón, conmemorando el Día de la Discapacidad ",P
Los vándalos le arrancan de nuevo el lápiz a Picasso ,N
Esto es apoyar de verdad: La reducirá impuestos a 96 pueblos ,P
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,N
Que corra el Dewars!!!“: gracias Jordi”,P
Detenida la jefa de una prestigiosa ONG rusa de control electoral ,P
Porque no tenemos programa. Gracias : buenafuente por q ya no dais tanta risa???¿¿¿¿???”,N
"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota"" ",N
"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo ",N
"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. ",P
". así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas ",N
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,N
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,N
RT:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos ,NEU
GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;),P
Ojala en España fuera igual RT : En Brasil se necesitará diploma para ejercer el periodismo ,NEU
"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound ",P
Ataque de inyección SQL masivo ,N
Mira nuestro árbol ;-)) ,P
"Je,je!!! Eso es bueno : me has hecho llorar... De risa!”",P
RT : Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,P
